         Train  Validation
518   7.485254         NaN
519   7.483885         NaN
520   7.482107         NaN
521   7.488523         NaN
522   7.488181         NaN
523   7.490160         NaN
524   7.487669         NaN
525   7.494248         NaN
526   7.486812         NaN
527   7.484418         NaN
528   7.482543         NaN
529   7.488539         NaN
530   7.485043         NaN
531   7.487704         NaN
532   7.492134         NaN
533   7.488774         NaN
534   7.492746         NaN
535   7.484730         NaN
536   7.483514         NaN
537   7.481719         NaN
538   7.488542         NaN
539   7.487966         NaN
540   7.489585         NaN
541   7.487081         NaN
542   7.493772         NaN
543   7.486362         NaN
544   7.484204         NaN
545   7.482163         NaN
546   7.488091         NaN
547   7.485083         NaN
548   7.487657         NaN
549   7.491235         NaN
550   7.488368         NaN
551   7.492540         NaN
552   7.484490         NaN
553   7.483358         NaN
554   7.481205         NaN
555   7.488029         NaN
556   7.487991         NaN
557   7.489560         NaN
558   7.486694         NaN
559   7.492966         NaN
560   7.486313         NaN
561   7.484106         NaN
562   7.482029         NaN
563   7.487211         NaN
564   7.484552         NaN
565   7.487436         NaN
566   7.491391         NaN
567   7.488250         NaN
568   7.492139         NaN
569   7.484281         NaN
570   7.483538         NaN
571   7.480996         NaN
572   7.487267         NaN
573   7.487697         NaN
574   7.489494         NaN
575   7.486856         NaN
576   7.492615         NaN
577   7.485768         NaN
578   7.483706         NaN
579   7.481710         NaN
580   7.486902         NaN
581   7.484320         NaN
582   7.487077         NaN
583   7.491170         NaN
584   7.488272         NaN
585   7.492136         NaN
586   7.483714         NaN
587   7.482787         NaN
588   7.480702         NaN
589   7.487186         NaN
590   7.487276         NaN
591   7.489005         NaN
592   7.486588         NaN
593   7.492712         NaN
594   7.485243         NaN
595   7.482947         NaN
596   7.481324         NaN
597   7.486434         NaN
598   7.484579         NaN
599   7.486679         NaN
600   7.491042    7.706016
601   7.488245         NaN
602   7.491991         NaN
603   7.482969         NaN
604   7.482415         NaN
605   7.479911         NaN
606   7.487192         NaN
607   7.487374         NaN
608   7.488502         NaN
609   7.486160         NaN
610   7.492669         NaN
611   7.485016         NaN
612   7.482564         NaN
613   7.480815         NaN
614   7.486093         NaN
615   7.484549         NaN
616   7.486400         NaN
617   7.490776         NaN
618   7.487922         NaN
619   7.491550         NaN
620   7.482903         NaN
621   7.481770         NaN
622   7.479404         NaN
623   7.487028         NaN
624   7.487487         NaN
625   7.487903         NaN
626   7.485964         NaN
627   7.492382         NaN
