Name: PixelCNN
Factorised: True
Learning rate: 0.001

         Train  Validation
425   0.301880         NaN
426   0.319000         NaN
427   0.318408         NaN
428   0.305794         NaN
429   0.320053         NaN
430   0.289066         NaN
431   0.311996         NaN
432   0.302336         NaN
433   0.318134         NaN
434   0.303000         NaN
435   0.323426         NaN
436   0.332326         NaN
437   0.303348         NaN
438   0.299677         NaN
439   0.313295         NaN
440   0.308321         NaN
441   0.305724         NaN
442   0.298518         NaN
443   0.311236         NaN
444   0.292823         NaN
445   0.308184         NaN
446   0.310643         NaN
447   0.303676         NaN
448   0.294108         NaN
449   0.303896         NaN
450   0.299683         NaN
451   0.300627         NaN
452   0.310915         NaN
453   0.318931         NaN
454   0.313907         NaN
455   0.299296         NaN
456   0.296666         NaN
457   0.311563         NaN
458   0.300112         NaN
459   0.309284         NaN
460   0.293724         NaN
461   0.302647         NaN
462   0.296266         NaN
463   0.301279         NaN
464   0.302568         NaN
465   0.297070         NaN
466   0.283720         NaN
467   0.281645         NaN
468   0.292932         NaN
469   0.296134         NaN
470   0.298829         NaN
471   0.298243         NaN
472   0.290634         NaN
473   0.291465         NaN
474   0.299543         NaN
475   0.297177         NaN
476   0.290905         NaN
477   0.299245         NaN
478   0.309755         NaN
479   0.295274         NaN
480   0.304406         NaN
481   0.309182         NaN
482   0.317052         NaN
483   0.304805         NaN
484   0.295678         NaN
485   0.297813         NaN
486   0.307298         NaN
487   0.300472         NaN
488   0.287734         NaN
489   0.287930         NaN
490   0.289038         NaN
491   0.293585         NaN
492   0.303191         NaN
493   0.295275         NaN
494   0.294428         NaN
495   0.294183         NaN
496   0.308425         NaN
497   0.300036         NaN
498   0.305299         NaN
499   0.327539         NaN
500   0.322666    0.308192
501   0.308024         NaN
502   0.320930         NaN
503   0.313828         NaN
504   0.310633         NaN
505   0.292725         NaN
506   0.303417         NaN
507   0.293569         NaN
508   0.308904         NaN
509   0.292474         NaN
510   0.275798         NaN
511   0.283953         NaN
512   0.278592         NaN
513   0.292409         NaN
514   0.288692         NaN
515   0.294880         NaN
516   0.282414         NaN
517   0.288160         NaN
518   0.294130         NaN
519   0.293361         NaN
520   0.292804         NaN
521   0.275920         NaN
522   0.273355         NaN
523   0.289977         NaN
524   0.277573         NaN
525   0.289787         NaN
526   0.282655         NaN
527   0.295586         NaN
528   0.289987         NaN
529   0.263748         NaN
530   0.280222         NaN
531   0.281126         NaN
532   0.310110         NaN
533   0.308045         NaN
534   0.299937         NaN
535   0.291891         NaN
536   0.296222         NaN
537   0.288272         NaN
538   0.297077         NaN
539   0.280024         NaN
540   0.294163         NaN
541   0.298731         NaN
542   0.292647         NaN
543   0.306817         NaN
544   0.293661         NaN
545   0.290252         NaN
546   0.308592         NaN
547   0.290155         NaN
548   0.284542         NaN
549   0.295306         NaN
550   0.309824         NaN
551   0.275960         NaN
552   0.288357         NaN
553   0.290934         NaN
554   0.295389         NaN
555   0.296550         NaN
556   0.282197         NaN
557   0.288162         NaN
558   0.283029         NaN
559   0.301188         NaN
560   0.288891         NaN
561   0.287279         NaN
562   0.284779         NaN
563   0.309087         NaN
564   0.277157         NaN
565   0.288791         NaN
566   0.275542         NaN
567   0.290365         NaN
568   0.278578         NaN
569   0.269769         NaN
570   0.285434         NaN
571   0.271231         NaN
572   0.279129         NaN
573   0.279105         NaN
574   0.281237         NaN
575   0.286154         NaN
576   0.267201         NaN
577   0.279923         NaN
