<pixelCNNMADE.PixelCNNMADE object at 0x7f19f72cbbe0>
         Train  Validation
562   0.242334         NaN
563   0.266544         NaN
564   0.232146         NaN
565   0.245300         NaN
566   0.214443         NaN
567   0.235022         NaN
568   0.224383         NaN
569   0.222480         NaN
570   0.244020         NaN
571   0.228468         NaN
572   0.229208         NaN
573   0.229600         NaN
574   0.233154         NaN
575   0.225208         NaN
576   0.238434         NaN
577   0.258714         NaN
578   0.263084         NaN
579   0.241222         NaN
580   0.228714         NaN
581   0.227514         NaN
582   0.238439         NaN
583   0.227828         NaN
584   0.232232         NaN
585   0.243465         NaN
586   0.227328         NaN
587   0.244610         NaN
588   0.226824         NaN
589   0.219851         NaN
590   0.249956         NaN
591   0.229179         NaN
592   0.235987         NaN
593   0.239655         NaN
594   0.228670         NaN
595   0.218412         NaN
596   0.243196         NaN
597   0.222347         NaN
598   0.219615         NaN
599   0.218529         NaN
600   0.215246    0.214706
601   0.220761         NaN
602   0.227278         NaN
603   0.233781         NaN
604   0.214245         NaN
605   0.199190         NaN
606   0.228193         NaN
607   0.209933         NaN
608   0.236441         NaN
609   0.238088         NaN
610   0.210034         NaN
611   0.208548         NaN
612   0.210812         NaN
613   0.210292         NaN
614   0.235912         NaN
615   0.225275         NaN
616   0.228811         NaN
617   0.215246         NaN
618   0.222442         NaN
619   0.211182         NaN
620   0.208573         NaN
621   0.222234         NaN
622   0.221897         NaN
623   0.206761         NaN
624   0.212365         NaN
625   0.214943         NaN
626   0.217255         NaN
627   0.219350         NaN
628   0.217106         NaN
629   0.219565         NaN
630   0.231626         NaN
631   0.217425         NaN
632   0.221571         NaN
633   0.202782         NaN
634   0.210764         NaN
635   0.201355         NaN
636   0.211296         NaN
637   0.196202         NaN
638   0.208760         NaN
639   0.194029         NaN
640   0.217448         NaN
641   0.216225         NaN
642   0.220527         NaN
643   0.212910         NaN
644   0.206969         NaN
645   0.217848         NaN
646   0.207994         NaN
647   0.219699         NaN
648   0.210676         NaN
649   0.200587         NaN
650   0.201733         NaN
651   0.198397         NaN
652   0.194961         NaN
653   0.198165         NaN
654   0.204295         NaN
655   0.188844         NaN
656   0.186871         NaN
657   0.186950         NaN
658   0.192630         NaN
659   0.191544         NaN
660   0.184542         NaN
661   0.186482         NaN
662   0.187492         NaN
663   0.194210         NaN
664   0.187323         NaN
665   0.172805         NaN
666   0.180904         NaN
667   0.193804         NaN
668   0.192097         NaN
669   0.231979         NaN
670   0.224429         NaN
671   0.195307         NaN
672   0.188978         NaN
673   0.187101         NaN
674   0.178931         NaN
675   0.217545         NaN
676   0.226547         NaN
677   0.184680         NaN
678   0.195919         NaN
679   0.204931         NaN
680   0.190986         NaN
681   0.193782         NaN
682   0.201423         NaN
683   0.192544         NaN
684   0.183108         NaN
685   0.197607         NaN
686   0.200989         NaN
687   0.210450         NaN
688   0.218453         NaN
689   0.179217         NaN
690   0.206594         NaN
691   0.199002         NaN
692   0.193665         NaN
693   0.195212         NaN
694   0.192533         NaN
695   0.186560         NaN
696   0.180673         NaN
697   0.184709         NaN
698   0.203427         NaN
699   0.187732         NaN
700   0.191230    0.194980
701   0.193057         NaN
702   0.185524         NaN
703   0.190715         NaN
704   0.183037         NaN
705   0.180749         NaN
706   0.172308         NaN
707   0.186001         NaN
708   0.181405         NaN
709   0.179126         NaN
710   0.174378         NaN
711   0.175343         NaN
712   0.181275         NaN
713   0.173263         NaN
714   0.170730         NaN
715   0.189361         NaN
716   0.175706         NaN
717   0.179098         NaN
718   0.177182         NaN
719   0.178791         NaN
720   0.170545         NaN
721   0.160544         NaN
722   0.164742         NaN
723   0.166007         NaN
724   0.167348         NaN
725   0.158711         NaN
726   0.162941         NaN
727   0.167920         NaN
728   0.167494         NaN
729   0.167655         NaN
730   0.165846         NaN
731   0.161065         NaN
732   0.168977         NaN
733   0.155639         NaN
734   0.154819         NaN
735   0.158228         NaN
736   0.156820         NaN
737   0.158757         NaN
738   0.161823         NaN
739   0.164091         NaN
740   0.157730         NaN
741   0.152739         NaN
742   0.156810         NaN
743   0.151623         NaN
744   0.153186         NaN
745   0.156034         NaN
746   0.147705         NaN
747   0.156171         NaN
748   0.155889         NaN
749   0.160172         NaN
750   0.152645         NaN
751   0.149323         NaN
752   0.147796         NaN
753   0.142678         NaN
754   0.147226         NaN
755   0.168414         NaN
756   0.142599         NaN
757   0.161295         NaN
758   0.157298         NaN
759   0.144757         NaN
760   0.161319         NaN
761   0.147677         NaN
762   0.141838         NaN
763   0.141696         NaN
764   0.162831         NaN
765   0.153446         NaN
766   0.133433         NaN
767   0.152950         NaN
768   0.149567         NaN
769   0.151378         NaN
770   0.145891         NaN
771   0.138802         NaN
772   0.135566         NaN
773   0.144154         NaN
774   0.139872         NaN
775   0.142215         NaN
776   0.135744         NaN
777   0.142254         NaN
778   0.130024         NaN
779   0.143199         NaN
780   0.133496         NaN
781   0.130051         NaN
782   0.127328         NaN
783   0.130217         NaN
784   0.128777         NaN
785   0.127556         NaN
786   0.132395         NaN
787   0.128582         NaN
788   0.130170         NaN
789   0.131720         NaN
790   0.132851         NaN
791   0.122995         NaN
792   0.130194         NaN
793   0.122338         NaN
794   0.128143         NaN
795   0.121771         NaN
796   0.132664         NaN
797   0.128185         NaN
798   0.133138         NaN
799   0.138893         NaN
800   0.126805    0.135728
801   0.132477         NaN
802   0.133597         NaN
803   0.129877         NaN
804   0.133708         NaN
805   0.130585         NaN
806   0.131219         NaN
807   0.129404         NaN
808   0.148406         NaN
809   0.144668         NaN
810   0.154715         NaN
811   0.153846         NaN
812   0.134182         NaN
813   0.135277         NaN
814   0.135050         NaN
815   0.118180         NaN
816   0.124412         NaN
817   0.128275         NaN
818   0.128241         NaN
819   0.123580         NaN
820   0.128111         NaN
821   0.116702         NaN
822   0.119734         NaN
823   0.107955         NaN
824   0.136730         NaN
825   0.133340         NaN
826   0.117632         NaN
827   0.128995         NaN
828   0.113964         NaN
829   0.118626         NaN
830   0.110953         NaN
831   0.126668         NaN
832   0.116780         NaN
833   0.121964         NaN
834   0.120916         NaN
835   0.107643         NaN
836   0.123854         NaN
837   0.119996         NaN
838   0.115710         NaN
839   0.121622         NaN
840   0.120849         NaN
841   0.115667         NaN
842   0.115557         NaN
843   0.111515         NaN
844   0.115844         NaN
845   0.111283         NaN
846   0.110443         NaN
847   0.108747         NaN
848   0.108198         NaN
849   0.110610         NaN
850   0.114994         NaN
